ballot file,lookup_table,name or ID of top-ranked candidate,number of candidates,number of first choice votes,percentage of votes in first round for leading candidate
voting_data/Pierce_County/Pierce County/Pierce County Auditor 2009 Ballot Image.txt,voting_data/Pierce_County/Pierce County/Pierce County Auditor 2009 Master Lookup.txt,Julie Anderson,4,153349,49.92272528676418
voting_data/Pierce_County/Pierce County/Pierce County Assessor - Treasurer 2008 Ballot Image.txt,voting_data/Pierce_County/Pierce County/Pierce County Assessor - Treasurer 2008 Master Lookup.txt,Dale Washam,7,261980,25.00687075349263
"voting_data/Pierce_County/Pierce County/Pierce County Council, District No. 2 2008 Ballot Image.txt","voting_data/Pierce_County/Pierce County/Pierce County Council, District No. 2 2008 Master Lookup.txt",Joyce McDonald,4,39952,49.94243091710052
voting_data/Pierce_County/Pierce County/Pierce County Executive 2008 Ballot Image Data.txt,voting_data/Pierce_County/Pierce County/Pierce County Executive 2008 Master Lookup.txt,Shawn Bunney,5,298912,35.12940263355101
